audio_list_secs,secWise_labs
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_5,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_6,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_sa2_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_5,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_6,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_8,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si454_9,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_5,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_6,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si473_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_1,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_4,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_5,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_6,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si502_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_1,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_5,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_6,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_8,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si523_9,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_5,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_6,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_8,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_9,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si528_10,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_5,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_6,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_7,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si575_8,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_0,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_1,0
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_2,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_3,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_4,1
../audioData/VAD_Kaggle/Data/Audio/Female/PTDB-TUG/mic_F01_si606_5,0
